1,1967,25.6 - 1.7,POL,Warsaw,,5,
2,1968,23.6 - 29.6,HUN,Budapest,,8,
3,1969,23.6 - 2.7,CZS,Brno,,8,40
4,1970,5.7 - 15.7,USS,Moscow,,8,
5,1971,2.7 - 11.7,BGR,Sofia,,7,
6,1972,8.7 - 18.7,ROU,Bucharest,,9,
7,1974,8.7 - 20.7,POL,Warsaw,,8,
8,1975,7.7 - 17.7,GDR,Guestrow,,9,
9,1976,1.7 - 8.7,HUN,Budapest,,10,
10,1977,7.7 - 17.7,CZS,Hradec Kralove,,12,60
11,1979,2.7 - 10.7,USS,Moscow,,11,
12,1981,1.7 - 10.7,BGR,Varna,,14,
13,1982,19.6 - 29.6,GER,Malente,,17,
14,1983,5.7 - 14.7,ROU,Bucharest,,16,
15,1984,24.6 - 1.7,SWE,Sigtuna,,18,
16,1985,23.6 - 30.6,YUG,Portorož,,20,
17,1986,13.7 - 20.7,UNK,London-Harrow,,21,
18,1987,5.7 - 13.7,GDR,Jena,,25,
19,1988,23.7 - 2.7,AUT,Bad Ischl,,27,
20,1989,16.7 - 24.7,POL,Warsaw,,30,
21,1990,5.7 - 13.7,NLD,Groningen,,32,
22,1991,1.7 - 9.7,CUB,Havana,,31,
23,1992,5.7 - 13.7,FIN,Helsinki-Espoo,,38,
24,1993,10.7 - 18.7,USA,Williamsburg,,42,
25,1994,11.7 - 19.7,CHN,Beijing,,46,
26,1995,5.7 - 12.7,AUS,Canberra,,51,
27,1996,30.6 - 7.7,NOR,Oslo,,55,
28,1997,13.7 - 21.7,CAN,Sudbury,http://www.physics.brocku.ca/oapt97/ipho/,56,
29,1998,2.7 - 10.7,ISL,Reykjavik,,56,
30,1999,18.7 - 27.7,ITA,Padova,,62,
31,2000,8.7 - 16.7,UNK,Leicester,,63,
32,2001,28.6 - 6.7,TUR,Antalya,,65,
33,2002,21.7 - 30.7,IDN,Nusa Dua,,66,
34,2003,2.8 - 11.8,TWN,Taipei,,54,
35,2004,15.7 - 23.7,KOR,Pohang,,71,
36,2005,3.7 - 12.7,ESP,Salamanca,,72,
37,2006,8.7 - 17.7,SGP,Singapore,,82,
38,2007,7.7 - 16.7,IRN,Isfahan,,69,
39,2008,20.7 - 29.7,VNM,Hanoi,,82,
40,2009,11.7 - 19.7,MEX,Merida,http://ipho2009.smf.mx/home/,68,
41,2010,17.7 - 25.7,HRV,Zagreb,http://ipho2010.hfd.hr/,79,
42,2011,10.7 - 18.7,THA,Bangkok,http://mpec.sc.mahidol.ac.th/ipho2011/,84,
43,2012,15.7 - 24.7,EST,Tallinn & Tartu,http://www.ipho2012.ee/,80,378
44,2013,7.7 - 15.7,DEN,Copenhagen,http://ipho2013.dk/,82,374
45,2014,13.7 - 21.7,KAZ,Astana,http://ipho2014.kz/,86,383
46,2015,5.7 - 12.7,IND,Mumbai,http://www.ipho2015.in/,83,382
47,2016,11.7 - 17.7,SUI&LIE,Zurich,http://www.ipho2016.org/,86,400
48,2017,16.7 - 24.7,IDN,Yogyakarta,http://ipho2017.id/,86,395
49,2018,21.7 - 29.7,POR,Lisbon,http://ipho2018.pt/,90,412
50,2019,7.7 - 15.7,ISR,Tel Aviv,https://www.ipho2019.org.il/,78,364
51,2021,17.7 - 24.7,LTU,Vilnius,https://www.ipho2021.lt/,76,366
52,2022,10.7 - 17.7,SUI,Remote,https://ipho2022.com/,,
53,2023,10.7 - 17.7,JPN,Tokyo,https://ipho2023.jp/en/,,
54,2024,21.7 - 28.7,IRN,Isfahan,https://www.ipho2024.ir/,,
55,2025,,FRA,,,,
56,2026,,COL,,,,
57,2027,,HUN,,,,
58,2028,,KOR,,,,
59,2029,,ECU,,,,
